"";"NEE_mean_gC_m2_d1";"NEE_sum_gC_m2_d1";"NEE_sum_gC_d1";"NEE_sum_PgC_d1";"Date"
"SMAP_L4_C_mdl_20160101T000000_Vv4040_001";0,586256415903233;26412,6103056883;2143252712859,03;0,00214325271285903;2016-01-01
"SMAP_L4_C_mdl_20160102T000000_Vv4040_001";0,575762285717568;25939,8182584336;2104887976236,29;0,00210488797623629;2016-01-02
"SMAP_L4_C_mdl_20160103T000000_Vv4040_001";0,56500312650407;25455,0858583879;2065554339031;0,002065554339031;2016-01-03
"SMAP_L4_C_mdl_20160104T000000_Vv4040_001";0,555010680325189;25004,8961806907;2029023672926,49;0,00202902367292649;2016-01-04
"SMAP_L4_C_mdl_20160105T000000_Vv4040_001";0,549476014046929;24755,5428608563;2008789884103,26;0,00200878988410326;2016-01-05
"SMAP_L4_C_mdl_20160106T000000_Vv4040_001";0,546984648676204;24643,299376809;1999681880429,99;0,00199968188042999;2016-01-06
"SMAP_L4_C_mdl_20160107T000000_Vv4040_001";0,545186009682029;24562,2652942045;1993106365349,64;0,00199310636534964;2016-01-07
"SMAP_L4_C_mdl_20160108T000000_Vv4040_001";0,543764926623627;24498,2412391743;1987911129890,38;0,00198791112989038;2016-01-08
"SMAP_L4_C_mdl_20160109T000000_Vv4040_001";0,540464342307983;24349,5400140015;1975844760812,57;0,00197584476081257;2016-01-09
"SMAP_L4_C_mdl_20160110T000000_Vv4040_001";0,538152642507692;24245,391002899;1967393583590,64;0,00196739358359064;2016-01-10
"SMAP_L4_C_mdl_20160111T000000_Vv4040_001";0,540605206663465;24355,8863758091;1976359736689,75;0,00197635973668975;2016-01-11
"SMAP_L4_C_mdl_20160112T000000_Vv4040_001";0,548095008454111;24693,324415883;2003741164971,17;0,00200374116497117;2016-01-12
"SMAP_L4_C_mdl_20160113T000000_Vv4040_001";0,55897346125592;25183,4313499629;2043510919035,64;0,00204351091903564;2016-01-13
"SMAP_L4_C_mdl_20160114T000000_Vv4040_001";0,566121377541664;25505,4664223846;2069642472661,55;0,00206964247266155;2016-01-14
"SMAP_L4_C_mdl_20160115T000000_Vv4040_001";0,565423850429645;25474,0407334068;2067092433404,71;0,00206709243340471;2016-01-15
"SMAP_L4_C_mdl_20160116T000000_Vv4040_001";0,561627682531185;25303,0119810775;2053214295910,37;0,00205321429591037;2016-01-16
"SMAP_L4_C_mdl_20160117T000000_Vv4040_001";0,556627063863568;25077,7191082453;2034932893379,65;0,00203493289337965;2016-01-17
"SMAP_L4_C_mdl_20160118T000000_Vv4040_001";0,549399273375771;24752,0854633986;2008509333396,8;0,00200850933339681;2016-01-18
"SMAP_L4_C_mdl_20160119T000000_Vv4040_001";0,538566229486229;24264,0243370431;1968905586512,41;0,00196890558651241;2016-01-19
"SMAP_L4_C_mdl_20160120T000000_Vv4040_001";0,527868218237471;23782,0468362528;1929795495758,4;0,0019297954957584;2016-01-20
"SMAP_L4_C_mdl_20160121T000000_Vv4040_001";0,522807944463604;23554,0663219187;1911296004410,51;0,00191129600441051;2016-01-21
"SMAP_L4_C_mdl_20160122T000000_Vv4040_001";0,525075473426842;23656,2253042995;1919585700642,59;0,00191958570064259;2016-01-22
"SMAP_L4_C_mdl_20160123T000000_Vv4040_001";0,531265911872687;23935,1231276002;1942216879821,08;0,00194221687982108;2016-01-23
"SMAP_L4_C_mdl_20160124T000000_Vv4040_001";0,534563958558511;24083,7100249366;1954273971760,34;0,00195427397176034;2016-01-24
"SMAP_L4_C_mdl_20160125T000000_Vv4040_001";0,533545200708938;24037,8119275398;1950549568128,05;0,00195054956812805;2016-01-25
"SMAP_L4_C_mdl_20160126T000000_Vv4040_001";0,531076156322731;23926,574070808;1941523166138,48;0,00194152316613848;2016-01-26
"SMAP_L4_C_mdl_20160127T000000_Vv4040_001";0,528817110181117;23824,7972649898;1933264481644,54;0,00193326448164455;2016-01-27
"SMAP_L4_C_mdl_20160128T000000_Vv4040_001";0,525319140225317;23667,2032245712;1920476504585,54;0,00192047650458554;2016-01-28
"SMAP_L4_C_mdl_20160129T000000_Vv4040_001";0,519671486806263;23412,7594950825;1899829654191,54;0,00189982965419154;2016-01-29
"SMAP_L4_C_mdl_20160130T000000_Vv4040_001";0,514745924017417;23190,8481147567;1881822643055,83;0,00188182264305583;2016-01-30
"SMAP_L4_C_mdl_20160131T000000_Vv4040_001";0,514954148269734;23200,2292419963;1882583875140,55;0,00188258387514055;2016-01-31
