"";"NEE_sd_gC_m2_d1";"Date"
"SMAP_L4_C_mdl_20160101T000000_Vv4040_001";0,0800674906154613;2016-01-01
"SMAP_L4_C_mdl_20160102T000000_Vv4040_001";0,0788487311134681;2016-01-02
"SMAP_L4_C_mdl_20160103T000000_Vv4040_001";0,0775720953909167;2016-01-03
"SMAP_L4_C_mdl_20160104T000000_Vv4040_001";0,0763766213056959;2016-01-04
"SMAP_L4_C_mdl_20160105T000000_Vv4040_001";0,075690031531129;2016-01-05
"SMAP_L4_C_mdl_20160106T000000_Vv4040_001";0,0754285328662782;2016-01-06
"SMAP_L4_C_mdl_20160107T000000_Vv4040_001";0,0753975203073855;2016-01-07
"SMAP_L4_C_mdl_20160108T000000_Vv4040_001";0,0752797287156369;2016-01-08
"SMAP_L4_C_mdl_20160109T000000_Vv4040_001";0,0749252452694858;2016-01-09
"SMAP_L4_C_mdl_20160110T000000_Vv4040_001";0,0747576117124336;2016-01-10
"SMAP_L4_C_mdl_20160111T000000_Vv4040_001";0,0752711386274464;2016-01-11
"SMAP_L4_C_mdl_20160112T000000_Vv4040_001";0,0764340611894523;2016-01-12
"SMAP_L4_C_mdl_20160113T000000_Vv4040_001";0,0778682927066888;2016-01-13
"SMAP_L4_C_mdl_20160114T000000_Vv4040_001";0,078440682552445;2016-01-14
"SMAP_L4_C_mdl_20160115T000000_Vv4040_001";0,07832297122646;2016-01-15
"SMAP_L4_C_mdl_20160116T000000_Vv4040_001";0,0778678150772898;2016-01-16
"SMAP_L4_C_mdl_20160117T000000_Vv4040_001";0,0773183956302333;2016-01-17
"SMAP_L4_C_mdl_20160118T000000_Vv4040_001";0,0765293146005732;2016-01-18
"SMAP_L4_C_mdl_20160119T000000_Vv4040_001";0,0751187888627847;2016-01-19
"SMAP_L4_C_mdl_20160120T000000_Vv4040_001";0,0738777256036093;2016-01-20
"SMAP_L4_C_mdl_20160121T000000_Vv4040_001";0,0733672216452571;2016-01-21
"SMAP_L4_C_mdl_20160122T000000_Vv4040_001";0,074070314157578;2016-01-22
"SMAP_L4_C_mdl_20160123T000000_Vv4040_001";0,0749096615156906;2016-01-23
"SMAP_L4_C_mdl_20160124T000000_Vv4040_001";0,0752756776032711;2016-01-24
"SMAP_L4_C_mdl_20160125T000000_Vv4040_001";0,0756262358478149;2016-01-25
"SMAP_L4_C_mdl_20160126T000000_Vv4040_001";0,0756824865710398;2016-01-26
"SMAP_L4_C_mdl_20160127T000000_Vv4040_001";0,0751196506522005;2016-01-27
"SMAP_L4_C_mdl_20160128T000000_Vv4040_001";0,0746710754153621;2016-01-28
"SMAP_L4_C_mdl_20160129T000000_Vv4040_001";0,0739260572327973;2016-01-29
"SMAP_L4_C_mdl_20160130T000000_Vv4040_001";0,0735004083959492;2016-01-30
"SMAP_L4_C_mdl_20160131T000000_Vv4040_001";0,0735795457445738;2016-01-31
